page,index,会社名,勤務地,給与
2.0,24.0,株式会社土屋 | 《 実質年休110日以上 》自宅近隣へ直行直帰／服装・髪型自由！,＼ 自宅から直行直帰スタイル ／ ★会社都合での転勤ナシ！ ▼事業所 北海道札幌市／旭川市 宮城県…,【南関東・東京勤務】 月給 22万円〜 + 手当 【福島・北関東・中部・関西・東海勤務】 月給 20万円〜 + …
2.0,25.0,株式会社ビッグモーター | 【業界No.1】平均年収861万円◆表彰式あり◆未経験歓迎◆面接1回,《全国約300店舗！転勤なし！マイカー・自転車通勤OK！》 ★勤務地は最寄り・希望の店舗を選べます…,月給22万8600円〜70万円（一律手当含む）＋インセンティブ＋賞与年2回＋諸手当 ※ご経験・ご年齢を考慮…
2.0,26.0,ジョンソン・エンド・ジョンソン株式会社 | 社会貢献度が高く、医療の一翼を担う仕事,【全国の事業所にて募集中】 研修後の配属地決定（その後の全国転勤有） 【北海道・東北エリア】 北海…,"月給：基本給276,000円〜 ※スキル・経験・直近の年収を考慮の上、当社規定に基づき決定いたします。 ※…"
2.0,27.0,株式会社クラシアン | 転勤なし★景気に左右されず依頼件数が増加中！,☆転勤なし ☆勤務地は相談に応じます。 ☆車通勤OK／社用車貸与 ◆北海道・東北 北海道、岩手県、…,月給22万円以上 + 歩合給 + 諸手当 ※スキル・経験等を考慮の上、弊社規定により優遇します。 ※試用期間…
2.0,28.0,株式会社リクルートスタッフィング | キャリアウィンク★有名＆安定企業で働ける♪在宅ワークも実施中,＜転勤なし！駅近オフィスが中心♪＞ ◆東京都 ◆神奈川県 ◆千葉県 ◆埼玉県 ◆愛知県(名古屋周辺…,東京23区：月給20万円〜＋ 賞与年2回＋残業代 東京23区外・神奈川県：月給19万円〜＋ 賞与年2回＋残業代 …
2.0,29.0,株式会社セラク | 【大阪府緊急雇用対策に賛同】東証一部上場企業★定着率90％超,＜首都圏積極採用中＞ 東京・横浜・大阪・札幌・名古屋・福岡の本社または各支社・支店 及び近郊のプロ…,東京/千葉/埼玉:月給22万~40万円 横浜/名古屋/大阪:月給21万~40万円 上記以外:月給20万~40万円 ※社会人…
2.0,30.0,株式会社リクルートスタッフィング | 産休・育休取得率&復職率100% ◆土日祝休み♪在宅ワークも実施中,＜転勤なし！駅近オフィスが中心♪＞ ◆東京都 ◆神奈川県 ◆千葉県 ◆埼玉県 ◆愛知県(名古屋周辺…,東京23区：月給20万円〜＋ 賞与年2回＋残業代 東京23区外・神奈川県：月給19万円〜＋ 賞与年2回＋残業代 …
2.0,31.0,株式会社リクルートスタッフィング | 大手&有名企業等で理想の働き方を★在宅ワーク実施中/土日祝休み,＜転勤なし！駅近オフィスが中心♪＞ ◆東京都 ◆神奈川県 ◆千葉県 ◆埼玉県 ◆愛知県(名古屋市中…,東京23区：月給20万円〜＋ 賞与年2回＋残業代 東京23区外・神奈川県：月給19万円〜＋ 賞与年2回＋残業代 …
2.0,32.0,株式会社修優舘 | 基本残業ゼロ｜賞与年3回+業績給｜オープニング募集もあり,大阪府（大阪市、豊中市、箕面市、吹田市、茨木市、高槻市、池田市）または兵庫県（伊丹市、西宮市）の各…,（1）週休制／月給21万5000円以上（一律手当1万円含む）＋インセンティブ ★半数以上の講師が月収30万円…
2.0,33.0,株式会社プロサーチ | 【WEB面接OK】前職給与も最大限考慮！40代～60代の入社も多数！,【転勤なし／希望勤務地に配属確約】 全国各地の現場で勤務（直行直帰) 仙台営業所：宮城県仙台市青葉…,月給27.5万円〜47万円（一律手当含む） + 諸手当 ※年齢、経験、能力を考慮の上、優遇します。 ※待遇条…
